FinanceProcessId,BranchId,Date,ProcessType,Costs,Currency
FP100001,B100001,2000-01-01,Office rent,95770.35,EUR
FP100002,B100001,2000-01-01,Electricity prepayment,1377.1,EUR
FP100003,B100001,2000-01-01,Water bill,410.19,EUR
FP100004,B100001,2000-01-01,Heating costs,475.91,EUR
FP100005,B100002,2000-01-01,Office rent,49651.56,EUR
FP100006,B100002,2000-01-01,Electricity prepayment,1124.92,EUR
FP100007,B100002,2000-01-01,Water bill,444.35,EUR
FP100008,B100002,2000-01-01,Heating costs,447.61,EUR
FP100009,B100003,2000-01-01,Office rent,92688.93,EUR
FP100010,B100003,2000-01-01,Electricity prepayment,1394.85,EUR
FP100011,B100003,2000-01-01,Water bill,402.31,EUR
FP100012,B100003,2000-01-01,Heating costs,450.06,EUR
FP100013,B100004,2000-01-01,Office rent,59994.87,EUR
FP100014,B100004,2000-01-01,Electricity prepayment,1296.22,EUR
FP100015,B100004,2000-01-01,Water bill,359.91,EUR
FP100016,B100004,2000-01-01,Heating costs,383.94,EUR
FP100017,B100005,2000-01-01,Office rent,53961.05,EUR
FP100018,B100005,2000-01-01,Electricity prepayment,1198.44,EUR
FP100019,B100005,2000-01-01,Water bill,392.78,EUR
FP100020,B100005,2000-01-01,Heating costs,320.44,EUR
FP100021,B100006,2000-01-01,Office rent,58345.02,EUR
FP100022,B100006,2000-01-01,Electricity prepayment,1048.69,EUR
FP100023,B100006,2000-01-01,Water bill,321.47,EUR
FP100024,B100006,2000-01-01,Heating costs,460.63,EUR
FP100025,B100007,2000-01-01,Office rent,64369.14,EUR
FP100026,B100007,2000-01-01,Electricity prepayment,1413.18,EUR
FP100027,B100007,2000-01-01,Water bill,399.72,EUR
FP100028,B100007,2000-01-01,Heating costs,479.42,EUR
FP100029,B100008,2000-01-01,Office rent,65963.4,EUR
FP100030,B100008,2000-01-01,Electricity prepayment,1351.86,EUR
FP100031,B100008,2000-01-01,Water bill,463.49,EUR
FP100032,B100008,2000-01-01,Heating costs,420.58,EUR
FP100033,B100009,2000-01-01,Office rent,68745.45,EUR
FP100034,B100009,2000-01-01,Electricity prepayment,1091.46,EUR
FP100035,B100009,2000-01-01,Water bill,371.36,EUR
FP100036,B100009,2000-01-01,Heating costs,328.2,EUR
FP100037,B100010,2000-01-01,Office rent,83820.54,EUR
FP100038,B100010,2000-01-01,Electricity prepayment,1270.43,EUR
FP100039,B100010,2000-01-01,Water bill,373.73,EUR
FP100040,B100010,2000-01-01,Heating costs,453.44,EUR
FP100041,B100011,2000-01-01,Office rent,82693.44,EUR
FP100042,B100011,2000-01-01,Electricity prepayment,1179.19,EUR
FP100043,B100011,2000-01-01,Water bill,367.39,EUR
FP100044,B100011,2000-01-01,Heating costs,424.92,EUR
FP100045,B100012,2000-01-01,Office rent,84362.67,EUR
FP100046,B100012,2000-01-01,Electricity prepayment,1285.89,EUR
FP100047,B100012,2000-01-01,Water bill,502.77,EUR
FP100048,B100012,2000-01-01,Heating costs,413.17,EUR
FP100049,B100013,2000-01-01,Office rent,88414.62,EUR
FP100050,B100013,2000-01-01,Electricity prepayment,1418.59,EUR
FP100051,B100013,2000-01-01,Water bill,492.67,EUR
FP100052,B100013,2000-01-01,Heating costs,372.41,EUR
FP100053,B100014,2000-01-01,Office rent,88511.52,EUR
FP100054,B100014,2000-01-01,Electricity prepayment,1599.0,EUR
FP100055,B100014,2000-01-01,Water bill,414.13,EUR
FP100056,B100014,2000-01-01,Heating costs,339.74,EUR
FP100057,B100015,2000-01-01,Office rent,86974.38,EUR
FP100058,B100015,2000-01-01,Electricity prepayment,1555.62,EUR
FP100059,B100015,2000-01-01,Water bill,326.58,EUR
FP100060,B100015,2000-01-01,Heating costs,382.48,EUR
FP100061,B100013,2000-01-01,Smoke detector control,416.67,EUR
