BusinessTripId,StartDate,EndDate,EmployeeId,PostalCode,City,OvernightStays,HotelCosts,TravelCosts,Currency
BT102937,1996-01-02,1996-01-05,E107601,36266,Heringen,3,0,101.01,EUR
BT102938,1996-01-04,1996-01-09,E107601,36251,Bad Hersfeld,5,0,148.86,EUR
BT102945,1996-01-05,1996-01-07,E107590,36287,Breitenbach,2,0,62.05,EUR
BT102952,1996-01-06,1996-01-10,E107601,36219,Cornberg,4,0,141.84,EUR
BT102953,1996-01-06,1996-01-07,E107590,36287,Breitenbach,1,0,33.29,EUR
BT102956,1996-01-07,1996-01-08,E107601,36266,Heringen,1,0,28.17,EUR
BT102960,1996-01-07,1996-01-08,E107590,36287,Breitenbach,1,0,26.94,EUR
BT102963,1996-01-08,1996-01-08,E107590,36286,Neuenstein,0,0,0.0,EUR
BT102971,1996-01-09,1996-01-09,E107601,36269,Philippsthal,0,0,0.0,EUR
BT102975,1996-01-09,1996-01-09,E107601,36217,Ronshausen,0,0,0.0,EUR
BT102982,1996-01-09,1996-01-12,E107590,36318,Schwalmtal,3,0,88.0,EUR
BT102987,1996-01-10,1996-01-13,E107590,36284,Hohenroda,3,0,83.77,EUR
BT102988,1996-01-11,1996-01-14,E107590,36287,Breitenbach,3,0,106.86,EUR
BT102996,1996-01-13,1996-01-13,E107601,36217,Ronshausen,0,0,0.0,EUR
BT103002,1996-01-14,1996-01-18,E107601,36269,Philippsthal,4,0,96.93,EUR
BT103010,1996-01-15,1996-01-15,E107601,36266,Heringen,0,0,0.0,EUR
BT103016,1996-01-15,1996-01-20,E107601,36266,Heringen,5,0,154.48,EUR
BT103017,1996-01-17,1996-01-20,E107601,36219,Cornberg,3,0,82.04,EUR
BT103020,1996-01-17,1996-01-18,E107601,36266,Heringen,1,0,29.03,EUR
BT103022,1996-01-17,1996-01-19,E107590,36286,Neuenstein,2,0,56.74,EUR
BT103027,1996-01-17,1996-01-22,E107590,36287,Breitenbach,5,0,120.46,EUR
BT103029,1996-01-17,1996-01-20,E107590,36284,Hohenroda,3,0,85.94,EUR
BT103036,1996-01-18,1996-01-22,E107601,36217,Ronshausen,4,0,116.66,EUR
BT103037,1996-01-19,1996-01-23,E107601,36217,Ronshausen,4,0,114.96,EUR
BT103045,1996-01-19,1996-01-20,E107601,36217,Ronshausen,1,0,30.02,EUR
BT103050,1996-01-20,1996-01-25,E107590,36304,Alsfeld,5,0,152.34,EUR
BT103055,1996-01-21,1996-01-24,E107590,36318,Schwalmtal,3,0,83.83,EUR
BT103061,1996-01-22,1996-01-26,E107601,36251,Bad Hersfeld,4,0,137.51,EUR
BT103063,1996-01-22,1996-01-27,E107601,36266,Heringen,5,0,132.77,EUR
BT103067,1996-01-22,1996-01-27,E107590,36289,Friedewald,5,0,143.72,EUR
BT103071,1996-01-23,1996-01-27,E107590,36284,Hohenroda,4,0,137.83,EUR
BT103072,1996-01-24,1996-01-28,E107590,36284,Hohenroda,4,0,97.14,EUR
BT103077,1996-01-24,1996-01-26,E107590,36304,Alsfeld,2,0,59.84,EUR
BT103078,1996-01-24,1996-01-25,E107590,36318,Schwalmtal,1,0,28.06,EUR
