EquipmentOrderId,Date,ProductName,UnitOfMeasure,Quantity,CostPerItem,Costs,Currency,EmployeeId
EO106268,1995-02-08,Paper clips (package),ST,4,4.3,17.2,EUR,E107550
EO106282,1995-03-10,Paper clips (package),ST,3,4.3,12.89,EUR,E107550
EO106293,1995-04-11,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107543
EO106306,1995-04-18,Notepad,ST,3,0.9,2.7,EUR,E107559
EO106309,1995-04-19,Paper clips (package),ST,3,4.3,12.89,EUR,E107550
EO106319,1995-04-30,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107567
EO106321,1995-05-28,Paper clips (package),ST,4,4.3,17.2,EUR,E107567
EO106329,1995-06-18,Pencil,ST,3,0.2,0.6,EUR,E107559
EO106331,1995-06-25,Pencil,ST,4,0.2,0.8,EUR,E107559
EO106345,1995-06-25,Notepad,ST,3,0.9,2.7,EUR,E107559
EO106346,1995-06-26,Paper clips (package),ST,5,4.3,21.5,EUR,E107559
EO106355,1995-06-29,Printer paper,ST,1,1.9,1.9,EUR,E107567
EO106363,1995-07-01,Notepad,ST,3,0.9,2.7,EUR,E107559
EO106370,1995-07-04,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107543
EO106371,1995-07-07,Notepad,ST,2,0.9,1.8,EUR,E107567
EO106390,1995-07-09,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107550
EO106395,1995-07-16,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107583
EO106414,1995-07-18,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107567
EO106426,1995-07-21,Pencil,ST,3,0.2,0.6,EUR,E107583
EO106427,1995-08-01,Pencil,ST,4,0.2,0.8,EUR,E107550
EO106430,1995-08-07,Paper clips (package),ST,4,4.3,17.2,EUR,E107559
EO106449,1995-08-09,Paper clips (package),ST,4,4.3,17.2,EUR,E107579
EO106469,1995-08-14,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107543
EO106475,1995-08-17,Notepad,ST,3,0.9,2.7,EUR,E107579
EO106491,1995-08-18,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107583
EO106511,1995-08-20,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107579
EO106514,1995-08-21,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107579
EO106527,1995-08-30,Pencil,ST,3,0.2,0.6,EUR,E107579
EO106536,1995-09-08,Pencil,ST,3,0.2,0.6,EUR,E107543
EO106545,1995-09-09,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107567
EO106550,1995-09-16,Pen,ST,1,0.5,0.5,EUR,E107592
EO106569,1995-09-18,Notepad,ST,4,0.9,3.6,EUR,E107592
EO106577,1995-09-21,Printer paper,ST,1,1.9,1.9,EUR,E107579
EO106578,1995-09-21,Paper clips (package),ST,3,4.3,12.89,EUR,E107590
EO106591,1995-09-22,Notepad,ST,2,0.9,1.8,EUR,E107559
EO106608,1995-09-25,Pen,ST,1,0.5,0.5,EUR,E107575
EO106617,1995-09-26,Notepad,ST,3,0.9,2.7,EUR,E107583
EO106628,1995-09-28,Paper clips (package),ST,4,4.3,17.2,EUR,E107598
EO106630,1995-10-02,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107590
EO106631,1995-10-04,Paper clips (package),ST,3,4.3,12.89,EUR,E107550
EO106636,1995-10-05,Notepad,ST,4,0.9,3.6,EUR,E107592
EO106644,1995-10-06,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107592
EO106652,1995-10-12,Pencil,ST,3,0.2,0.6,EUR,E107592
EO106662,1995-10-19,Pen,ST,1,0.5,0.5,EUR,E107592
EO106673,1995-10-22,Notepad,ST,2,0.9,1.8,EUR,E107567
EO106683,1995-10-24,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107590
EO106698,1995-10-26,Notepad,ST,3,0.9,2.7,EUR,E107590
EO106717,1995-10-27,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107590
EO106727,1995-10-28,Notepad,ST,3,0.9,2.7,EUR,E107598
EO106734,1995-10-31,Notepad,ST,3,0.9,2.7,EUR,E107579
EO106740,1995-10-31,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107592
EO106758,1995-11-10,Paper clips (package),ST,4,4.3,17.2,EUR,E107598
EO106775,1995-11-12,Pen,ST,1,0.5,0.5,EUR,E107598
EO106779,1995-11-16,Printer paper,ST,1,1.9,1.9,EUR,E107583
EO106784,1995-11-18,Paper clips (package),ST,4,4.3,17.2,EUR,E107598
EO106789,1995-11-19,Pencil,ST,4,0.2,0.8,EUR,E107543
EO106796,1995-11-25,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107583
EO106812,1995-11-25,Paper clips (package),ST,3,4.3,12.89,EUR,E107592
EO106812,1995-11-30,Pencil,ST,4,0.2,0.8,EUR,E107596
EO106812,1995-12-01,Pencil,ST,4,0.2,0.8,EUR,E107550
EO106814,1995-12-01,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107550
EO106825,1995-12-02,Notepad,ST,2,0.9,1.8,EUR,E107550
EO106836,1995-12-03,Pencil,ST,3,0.2,0.6,EUR,E107559
EO106837,1995-12-03,Paper clips (package),ST,3,4.3,12.89,EUR,E107596
EO106853,1995-12-08,Pencil,ST,3,0.2,0.6,EUR,E107550
EO106858,1995-12-10,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107567
EO106864,1995-12-10,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107575
EO106877,1995-12-15,Pen,ST,1,0.5,0.5,EUR,E107559
EO106878,1995-12-15,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107609
EO106888,1995-12-16,Printer paper,ST,1,1.9,1.9,EUR,E107583
EO106902,1995-12-21,Pen,ST,1,0.5,0.5,EUR,E107559
EO106907,1995-12-21,Notepad,ST,2,0.9,1.8,EUR,E107567
EO106907,1995-12-22,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107601
EO106924,1995-12-24,Notepad,ST,3,0.9,2.7,EUR,E107598
EO106930,1996-01-02,Paper clips (package),ST,4,4.3,17.2,EUR,E107596
